"ArrayType","AUC_Normalized","Mean_Distance","n","Tier","Population"
"HumanOmni2-5-8-v1-2-A",0.909116022099447,2.72651933701657,362,"🥈 Silver (Good)","AMR"
"HumanOmni1S-8v1_H",0.907182320441989,2.78453038674033,362,"🥈 Silver (Good)","AMR"
"InfiniumOmni2-5-8v1-4_A1",0.904788213627993,2.85635359116022,362,"🥈 Silver (Good)","AMR"
"Consortium-OncoArray_15047405_A",0.902762430939226,2.9171270718232,362,"🥈 Silver (Good)","AMR"
"OncoArray-500K_B",0.900828729281768,2.97513812154696,362,"🥈 Silver (Good)","AMR"
"HumanExome-12v1_A",0.892725598526704,3.2182320441989,362,"🥈 Silver (Good)","AMR"
"Cardio-Metabo_Chip_11395247_A",0.891804788213628,3.24585635359116,362,"🥈 Silver (Good)","AMR"
"InfiniumOmniExpressExome-8v1-3_A",0.890883977900553,3.27348066298343,362,"🥈 Silver (Good)","AMR"
"Axiom_GW_PanAFR",0.889594843462247,3.3121546961326,362,"🥈 Silver (Good)","AMR"
"HumanExome-12v1-1_A",0.889318600368324,3.32044198895028,362,"🥈 Silver (Good)","AMR"
"HumanOmniExpressExome-8-v1-1-C",0.889318600368324,3.32044198895028,362,"🥈 Silver (Good)","AMR"
"Axiom_GW_HuOrigin",0.887661141804788,3.37016574585635,362,"🥈 Silver (Good)","AMR"
"HumanExome-12v1-2_A",0.885174953959484,3.44475138121547,362,"🥈 Silver (Good)","AMR"
"InfiniumOmniExpressExome-8v1-4_A1",0.884162062615101,3.47513812154696,362,"🥈 Silver (Good)","AMR"
"InfiniumOmniExpressExome-8v1-6_A1",0.882965009208103,3.51104972375691,362,"🥈 Silver (Good)","AMR"
"InfiniumExome-24v1-1_A1",0.882780847145488,3.51657458563536,362,"🥈 Silver (Good)","AMR"
"HumanOmniExpressExome-8-v1-0-B",0.868324125230203,3.95027624309392,362,"🥈 Silver (Good)","AMR"
"GSA-24v1-0_A1",0.866574585635359,4.00276243093923,362,"🥈 Silver (Good)","AMR"
"GSAMD-24v1-0_20011747_A1",0.866574585635359,4.00276243093923,362,"🥈 Silver (Good)","AMR"
"GSA-24v1-0_C1",0.864825046040516,4.05524861878453,362,"🥈 Silver (Good)","AMR"
"Axiom_GW_ASI",0.844843462246777,4.65469613259669,362,"🥉 Bronze (Fair)","AMR"
"Axiom_GW_Hu_SNP",0.844290976058932,4.67127071823204,362,"🥉 Bronze (Fair)","AMR"
"Axiom_GW_EAS",0.829465930018416,5.11602209944751,362,"🥉 Bronze (Fair)","AMR"
"Axiom_GW_LAT",0.755985267034991,7.32044198895028,362,"🥉 Bronze (Fair)","AMR"
"Axiom_GW_EUR",0.743278084714549,7.70165745856354,362,"⚠️ Low Performance","AMR"
"Axiom_GW_CHB2",0.734622467771639,7.96132596685083,362,"⚠️ Low Performance","AMR"
"HumanOmni2.5S-8v1_B",0.724401473296501,8.26795580110497,362,"⚠️ Low Performance","AMR"
"Axiom_PMRA_r3",0.715745856353591,8.52762430939227,362,"⚠️ Low Performance","AMR"
"Axiom_GW_AFR",0.668139963167587,9.95580110497237,362,"⚠️ Low Performance","AMR"
"InfiniumOmniZhongHua-8v1-4_A1",0.661786372007366,10.146408839779,362,"⚠️ Low Performance","AMR"
"HumanOmniZhongHua-8v1_B",0.626887661141805,11.1933701657459,362,"⚠️ Low Performance","AMR"
"humanomnizhonghua-8v1-1_a",0.61878453038674,11.4364640883978,362,"⚠️ Low Performance","AMR"
"HumanOmniZhongHua-8v1-2_A",0.607090239410681,11.7872928176796,362,"⚠️ Low Performance","AMR"
"InfiniumOmniZhongHua-8v1-3_A1",0.6048802946593,11.853591160221,362,"⚠️ Low Performance","AMR"
"HumanOmni1-Quad_v1-0_B",0.584622467771639,12.4613259668508,362,"⚠️ Low Performance","AMR"
"Axiom_BioBank1",0.484254143646409,15.4723756906077,362,"⚠️ Low Performance","AMR"
"Immuno_BeadChip_11419691_B",0.480018416206262,15.5994475138122,362,"⚠️ Low Performance","AMR"
