"hg1";"hg2";"distance"
"L2c2b1b";"L2c";"4"
"L2c3*1";"L2c";"2"
"L2c3a";"L2c";"2"
"L2d1a";"L2d";"3"
"L2e1*1a";"L2e1*1";"1"
"L2e1a";"L2e";"2"
"L3";"H7*";"7"
"L3a1";"H7*";"9"
"L3a1a";"H7*";"10"
"L3a1b";"H7*";"10"
"L3a2";"H7*";"10"
"L3a2a";"H7*";"11"
"L3b1a7a";"L3b1a";"3"
"L3b1b";"L3b1";"1"
"L3b2a";"X2f1";"10"
"L3c";"L3c";"0"
"L3d";"H7*";"9"
"L3d1a1a";"L3d1a1a";"0"
"L3d1a1a1";"L3d1a1a";"1"
"L3d1b";"L3d1'2'3'4'5'6";"2"
"L3d1b1";"L3d1'2'3'4'5'6";"3"
"L3d1c";"L3d1'2'3'4'5'6";"2"
"L3d1d";"L3d1'2'3'4'5'6";"2"
"L3d2b";"L3d2b";"0"
"L3d3a1";"L3d1'2'3'4'5'6";"3"
"L3d3b";"L3d1'2'3'4'5'6";"2"
"L3d4";"L3d1'2'3'4'5'6";"1"
"L3d4a";"L3d1'2'3'4'5'6";"2"
"L3d5a*";"L3d1'2'3'4'5'6";"3"
"L3e1";"L3e1";"0"
"L3e1a1a";"L3e1";"3"
"L3e1b1";"L3e1";"2"
"L3e1b2";"L3e1";"2"
"L3e1c";"L3e1c";"0"
"L3e1d1a";"L3e1";"3"
"L3e1e1";"L3e1";"2"
"L3e1f1a";"L3e1";"3"
"L3e2a";"L3e";"2"
"L3e2b";"L3e";"2"
"L3e3a";"L3e";"4"
"L3e3b";"L3e";"4"
"L3e4a";"L3e4";"1"
"L3e5";"L3e";"2"
"L3f1a";"H7*";"11"
"L3f1b+16292";"L3f1b";"1"
"L3f2a1*1";"H7*";"13"
"L3f2a1a";"H7*";"13"
"L3f2b";"H7*";"11"
"L3f3";"H7*";"10"
"L3f3a";"H7*";"11"
"L3h1a1";"M2a1a1a";"12"
"L3h1b1";"H7*";"11"
"L3h1b1a*4";"H7*";"13"
"L3h2";"L3h2";"0"
"L3i1a";"H7*";"11"
"L3i1b";"H7*";"11"
"L3i2*2";"H7*";"11"
"L3k";"H7*";"9"
"L3k1";"H7*";"10"
"L3x1+16311";"H7*";"11"
"L3x1a2";"P4";"9"
"L3x1b";"H7*";"12"
"L3x2a*";"H7*";"12"
"L3x2b";"H7*";"11"
"L3x2b*";"H7*";"12"
"L4a1a";"L4a";"2"
"L4a1a*";"L4a";"3"
"L4a2";"L4a";"1"
"L4b1a*2";"L4b1a";"1"
"L4b2a";"L3'4";"4"
"L5a1a";"L2'3'4'5'6";"4"
"L5a1b*";"L2'3'4'5'6";"5"
"L5a2";"L2'3'4'5'6";"3"
"L5b1";"L2'3'4'5'6";"3"
"L5b1a";"L2'3'4'5'6";"4"
"L5b1b";"L2'3'4'5'6";"4"
"L5b2";"L2'3'4'5'6";"3"
"L6a";"L3'4";"3"
"L6b";"L3'4";"3"
"M1a";"H7*";"11"
"M2a1*2";"H7*";"13"
"M7a+16324";"H7*";"11"
"M7b1b";"P4";"10"
"M8a1";"H7*";"11"
"M9a";"H7*";"11"
