"hg1";"hg2";"distance"
"M2a1*2";"M2a1*2";"0"
"M7a+16324";"H1ae3";"12"
"M7b1b";"M7b1";"1"
"M8a1";"M8a1";"0"
"M9a";"H2a2a1";"14"
"N1a1a";"HV19";"10"
"N1b2";"H2a2a1";"13"
"N2a";"H2a2a1";"11"
"N9a7";"H2a2a1";"12"
"R5a1";"R5a1";"0"
"R8a1a";"R8";"3"
"R9b";"HV19";"5"
"T1a";"JT";"3"
"U1a1*";"R30b2";"8"
"W1";"H2a2a1";"12"
"X3a";"H2a2a1";"14"
"X4";"H2a2a1";"11"
"Y1a";"H2a2a1";"13"
