"hg1";"hg2";"distance"
"A1a";"A";"4"
"A5b*";"A";"3"
"B4d1";"B4d";"2"
"B6a";"B6a";"0"
"C1a";"C1";"1"
"D1a1";"D1a1";"0"
"D4e1a";"D4e1a";"0"
"E1a1";"M";"5"
"F4a1a";"F4a";"2"
"G1a1";"G1a1";"0"
"G2a1";"G2a";"1"
"H1a1a";"H1";"3"
"H2a2a1";"H2a2a1";"0"
"H3a";"H";"3"
"J1b1a1";"J1b1a1";"0"
"K1a9";"K1a+195";"1"
"L0a";"L0a";"0"
"L0a1+16293";"L0a";"3"
"L0a1a";"L0a";"3"
"L0a1b";"L0a1b1*";"2"
"L0a1c1";"L0a1c1";"0"
"L0a1d";"L0a";"4"
"L0a1e";"L0a";"3"
"L0a2";"L0a2";"0"
"L0a2a2a";"L0a2a2";"1"
"L0a2b";"L0a2";"1"
"L0a2c";"L0a2c";"0"
"L0a2d";"L0a2d";"0"
"L0a3";"L0a";"1"
"L0a4";"L0a4";"0"
"L0b";"L0a'b'g";"1"
"L0d1a";"L0d1a";"0"
"L0d1b2a1";"L0d1b2a";"1"
"L0d1c";"L0d1c";"0"
"L0d1d";"L0d1d";"0"
"L0d2a1";"L0d2a1";"0"
"L0d2b2";"L0d1'2";"4"
"L0d2c1";"L0d1'2";"3"
"L0d2d";"L0d2d";"0"
"L0d3a";"L0d3";"1"
"L0d3b1";"L0d3";"2"
"L0f1";"L0a'b'f'g";"2"
"L0f1*";"L0f1*";"0"
"L0f2b";"L0f2b";"0"
"L0g";"L0g";"0"
"L0k1a1a";"L0k1a1a";"0"
"L0k1a2";"L0k1a";"1"
"L0k1a3";"L0k1a";"1"
"L0k1b";"L0k1b";"0"
"L0k2a";"L0k2";"1"
"L0k2b";"L0k2";"1"
"L1b1a+189";"L1b1a";"1"
"L1b1a12a";"L1b1a";"2"
"L1b2";"L1b2'3";"1"
"L1b2a";"L1b2a";"0"
"L1b3";"L1b2'3";"1"
"L1c1";"L1c1";"0"
"L1c1a*";"L1c1a*";"0"
"L1c1b";"L1c1";"3"
"L1c1c*3";"L1c1c*3";"0"
"L1c1d*";"L1c1d*";"0"
"L1c2b";"L1c2";"1"
"L1c2b1a'b";"L1c2";"3"
"L1c3a*1";"L1c3a";"1"
"L1c3b1a";"L1c3b1a";"0"
"L1c3c";"L1c";"3"
"L1c4a*";"L1c4a";"1"
"L1c4b";"L1c4";"1"
"L1c5";"L1c5";"0"
"L1c6";"L1c6";"0"
"L2a1a";"L2a1a";"0"
"L2a1b";"L2a1+16189+(16192)";"1"
"L2a1c+16129*";"L2a1c";"2"
"L2a1d2*";"L2a1d";"2"
"L2a1e1";"L2a1";"3"
"L2a1f3";"L2a1+16189+(16192)";"2"
"L2a1g";"L2a1+16189+(16192)";"1"
"L2a1h*";"L2a1h";"1"
"L2a1i1";"L2a1+16189+(16192)";"6"
"L2a1j";"L2a1+143+16189+(16192)*3";"2"
"L2a1l1a";"L2a1+16189+(16192)";"6"
"L2a1q";"L2a1q";"0"
"L2a2a";"L2a2'3'4";"3"
"L2a2b";"L2a2b";"0"
"L2a5*1a";"L2";"5"
"L2b1";"L2b";"1"
"L2b1a";"L2b";"2"
"L2b1b*";"L2b1b*";"0"
